Statistic Label,Month,Year,COICOP,Commodity Group,UNIT,VALUE
EU HICP,January,1996,00,All-items,Base 2015=100,68.1
EU HICP,January,1996,01,Food and non-alcoholic beverages,Base 2015=100,79.0
EU HICP,January,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,48.9
EU HICP,January,1996,03,Clothing and footwear,Base 2015=100,234.4
EU HICP,January,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.8
EU HICP,January,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,112.5
EU HICP,January,1996,06,Health,Base 2015=100,46.4
EU HICP,January,1996,07,Transport,Base 2015=100,70.6
EU HICP,January,1996,08,Communications,Base 2015=100,126.7
EU HICP,January,1996,09,Recreation and culture,Base 2015=100,77.9
EU HICP,January,1996,10,Education,Base 2015=100,33.6
EU HICP,January,1996,11,Restaurants and hotels,Base 2015=100,56.3
EU HICP,January,1996,12,Miscellaneous goods and services,Base 2015=100,56.1
EU HICP,February,1996,00,All-items,Base 2015=100,68.6
EU HICP,February,1996,01,Food and non-alcoholic beverages,Base 2015=100,79.3
EU HICP,February,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.3
EU HICP,February,1996,03,Clothing and footwear,Base 2015=100,236.6
EU HICP,February,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,48.9
EU HICP,February,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,114.7
EU HICP,February,1996,06,Health,Base 2015=100,46.5
EU HICP,February,1996,07,Transport,Base 2015=100,70.8
EU HICP,February,1996,08,Communications,Base 2015=100,125.8
EU HICP,February,1996,09,Recreation and culture,Base 2015=100,77.9
EU HICP,February,1996,10,Education,Base 2015=100,33.5
EU HICP,February,1996,11,Restaurants and hotels,Base 2015=100,56.3
EU HICP,February,1996,12,Miscellaneous goods and services,Base 2015=100,56.6
EU HICP,March,1996,00,All-items,Base 2015=100,68.9
EU HICP,March,1996,01,Food and non-alcoholic beverages,Base 2015=100,79.7
EU HICP,March,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.5
EU HICP,March,1996,03,Clothing and footwear,Base 2015=100,237.5
EU HICP,March,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.1
EU HICP,March,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,116.2
EU HICP,March,1996,06,Health,Base 2015=100,46.7
EU HICP,March,1996,07,Transport,Base 2015=100,71.3
EU HICP,March,1996,08,Communications,Base 2015=100,125.5
EU HICP,March,1996,09,Recreation and culture,Base 2015=100,77.5
EU HICP,March,1996,10,Education,Base 2015=100,33.5
EU HICP,March,1996,11,Restaurants and hotels,Base 2015=100,56.4
EU HICP,March,1996,12,Miscellaneous goods and services,Base 2015=100,56.8
EU HICP,April,1996,00,All-items,Base 2015=100,68.8
EU HICP,April,1996,01,Food and non-alcoholic beverages,Base 2015=100,80.1
EU HICP,April,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.5
EU HICP,April,1996,03,Clothing and footwear,Base 2015=100,237.3
EU HICP,April,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.4
EU HICP,April,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,114.5
EU HICP,April,1996,06,Health,Base 2015=100,46.8
EU HICP,April,1996,07,Transport,Base 2015=100,71.8
EU HICP,April,1996,08,Communications,Base 2015=100,125.3
EU HICP,April,1996,09,Recreation and culture,Base 2015=100,76.3
EU HICP,April,1996,10,Education,Base 2015=100,33.5
EU HICP,April,1996,11,Restaurants and hotels,Base 2015=100,56.5
EU HICP,April,1996,12,Miscellaneous goods and services,Base 2015=100,56.8
EU HICP,May,1996,00,All-items,Base 2015=100,68.9
EU HICP,May,1996,01,Food and non-alcoholic beverages,Base 2015=100,80.5
EU HICP,May,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.5
EU HICP,May,1996,03,Clothing and footwear,Base 2015=100,236.8
EU HICP,May,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.5
EU HICP,May,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,114.8
EU HICP,May,1996,06,Health,Base 2015=100,47.0
EU HICP,May,1996,07,Transport,Base 2015=100,72.1
EU HICP,May,1996,08,Communications,Base 2015=100,125.3
EU HICP,May,1996,09,Recreation and culture,Base 2015=100,75.8
EU HICP,May,1996,10,Education,Base 2015=100,33.6
EU HICP,May,1996,11,Restaurants and hotels,Base 2015=100,56.7
EU HICP,May,1996,12,Miscellaneous goods and services,Base 2015=100,56.9
EU HICP,June,1996,00,All-items,Base 2015=100,69.1
EU HICP,June,1996,01,Food and non-alcoholic beverages,Base 2015=100,80.6
EU HICP,June,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.5
EU HICP,June,1996,03,Clothing and footwear,Base 2015=100,236.6
EU HICP,June,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.7
EU HICP,June,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,114.9
EU HICP,June,1996,06,Health,Base 2015=100,47.1
EU HICP,June,1996,07,Transport,Base 2015=100,72.1
EU HICP,June,1996,08,Communications,Base 2015=100,125.2
EU HICP,June,1996,09,Recreation and culture,Base 2015=100,75.9
EU HICP,June,1996,10,Education,Base 2015=100,33.6
EU HICP,June,1996,11,Restaurants and hotels,Base 2015=100,57.0
EU HICP,June,1996,12,Miscellaneous goods and services,Base 2015=100,56.9
EU HICP,July,1996,00,All-items,Base 2015=100,68.9
EU HICP,July,1996,01,Food and non-alcoholic beverages,Base 2015=100,80.6
EU HICP,July,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.5
EU HICP,July,1996,03,Clothing and footwear,Base 2015=100,236.6
EU HICP,July,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.7
EU HICP,July,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,113.9
EU HICP,July,1996,06,Health,Base 2015=100,47.2
EU HICP,July,1996,07,Transport,Base 2015=100,71.9
EU HICP,July,1996,08,Communications,Base 2015=100,124.8
EU HICP,July,1996,09,Recreation and culture,Base 2015=100,76.9
EU HICP,July,1996,10,Education,Base 2015=100,33.7
EU HICP,July,1996,11,Restaurants and hotels,Base 2015=100,57.4
EU HICP,July,1996,12,Miscellaneous goods and services,Base 2015=100,57.0
EU HICP,August,1996,00,All-items,Base 2015=100,69.3
EU HICP,August,1996,01,Food and non-alcoholic beverages,Base 2015=100,80.5
EU HICP,August,1996,02,"Alcoholic beverages, tobacco and narcotics",Base 2015=100,49.6
EU HICP,August,1996,03,Clothing and footwear,Base 2015=100,236.8
EU HICP,August,1996,04,"Housing, water, electricity, gas and other fuels",Base 2015=100,49.7
EU HICP,August,1996,05,"Furnishings, household equipment and routine household maintenance",Base 2015=100,115.3
EU HICP,August,1996,06,Health,Base 2015=100,47.2
